epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.1496,1.1003,2.72378,1.58001,1.17128,0.75698,0.88474,0.89987,0.67628,0.74306,0.81876,0.84253,0.46532,1.03883,2.06116,0.83981,1.08054,0.00020668,0.00020668,0.00020668
2,75.3277,1.12132,2.23576,0.91568,1.15154,0.81357,0.8378,0.93111,0.7033,0.79331,0.82927,0.91115,0.56983,1.04811,1.93231,1.00211,1.08425,0.000406796,0.000406796,0.000406796
3,112.431,1.13339,2.23012,0.85275,1.15711,0.87923,0.79531,0.91478,0.6913,0.86651,0.78799,0.89673,0.56083,1.04681,1.97648,0.93176,1.10419,0.000598662,0.000598662,0.000598662
4,149.235,1.11284,2.23157,0.81237,1.14756,0.81601,0.94192,0.94512,0.71745,0.81794,0.9416,0.94136,0.62238,1.053,1.70248,0.70015,1.10694,0.000587875,0.000587875,0.000587875
5,186.181,1.093,2.14484,0.76834,1.13169,0.8561,0.92511,0.94406,0.71697,0.85038,0.92304,0.93674,0.62143,0.95289,1.61026,0.67768,1.04925,0.0005755,0.0005755,0.0005755
6,222.976,1.07261,2.09945,0.75387,1.1302,0.86902,0.94398,0.96863,0.76732,0.87528,0.93771,0.95755,0.66614,0.93276,1.59721,0.61119,1.04469,0.000563125,0.000563125,0.000563125
7,259.919,1.02787,2.04519,0.69822,1.10118,0.93328,0.946,0.97977,0.76851,0.92383,0.93715,0.96505,0.67582,0.90392,1.48732,0.57666,1.02946,0.00055075,0.00055075,0.00055075
8,297.262,1.02879,2.02968,0.69113,1.10485,0.92342,0.92847,0.97908,0.76596,0.92643,0.91309,0.95368,0.68812,0.91242,1.43762,0.59994,1.04238,0.000538375,0.000538375,0.000538375
9,334.167,1.02283,2.03552,0.68231,1.0999,0.85389,0.95215,0.97219,0.77403,0.8508,0.94864,0.96505,0.69928,0.86278,1.31377,0.5681,0.99857,0.000526,0.000526,0.000526
10,370.538,0.99408,1.9467,0.64929,1.0815,0.89337,0.95156,0.97086,0.7805,0.88243,0.94457,0.95983,0.68483,0.88881,1.37098,0.5606,1.00357,0.000513625,0.000513625,0.000513625
11,406.545,0.99873,1.96362,0.64221,1.08133,0.91601,0.93947,0.98098,0.79353,0.91135,0.94838,0.97592,0.71549,0.88232,1.38262,0.52508,1.00418,0.00050125,0.00050125,0.00050125
12,442.501,0.96099,1.91166,0.68503,1.05967,0.89349,0.95727,0.9802,0.78366,0.88894,0.94714,0.95639,0.70484,0.8488,1.37931,0.51852,1.00998,0.000488875,0.000488875,0.000488875
13,478.402,0.96614,1.92639,0.62783,1.06484,0.92564,0.95992,0.98508,0.81024,0.91208,0.94688,0.96226,0.72186,0.84327,1.3553,0.50951,0.97854,0.0004765,0.0004765,0.0004765
14,514.363,0.94992,1.87784,0.60264,1.06505,0.95201,0.94503,0.98541,0.80164,0.94219,0.93765,0.97089,0.72894,0.81213,1.29787,0.48491,0.96686,0.000464125,0.000464125,0.000464125
15,550.587,0.95125,1.8668,0.60589,1.066,0.85684,0.95416,0.96765,0.7725,0.8512,0.94875,0.96704,0.70398,0.87204,1.42136,0.5513,1.00072,0.00045175,0.00045175,0.00045175
16,586.375,0.9475,1.87237,0.59913,1.05796,0.92686,0.93695,0.98292,0.78943,0.92373,0.93407,0.96508,0.69965,0.8695,1.29351,0.50594,0.97757,0.000439375,0.000439375,0.000439375
17,622.209,0.94365,1.87902,0.60538,1.06007,0.89724,0.95235,0.97776,0.78255,0.90445,0.94631,0.96638,0.72026,0.87408,1.35979,0.53232,1.00816,0.000427,0.000427,0.000427
18,658.068,0.92857,1.84426,0.5813,1.04559,0.94559,0.95627,0.98345,0.81139,0.94183,0.94986,0.97261,0.73291,0.79923,1.34242,0.49247,0.97257,0.000414625,0.000414625,0.000414625
19,693.986,0.9082,1.78529,0.56024,1.03708,0.88627,0.95431,0.97798,0.79954,0.92304,0.91791,0.96007,0.72747,0.83876,1.27863,0.50169,0.97448,0.00040225,0.00040225,0.00040225
20,729.813,0.90904,1.80153,0.56037,1.03552,0.95412,0.95971,0.98805,0.82449,0.95454,0.95664,0.97832,0.74419,0.78728,1.24239,0.45832,0.9564,0.000389875,0.000389875,0.000389875
21,765.761,0.90169,1.7931,0.56174,1.03683,0.95532,0.96194,0.98855,0.82232,0.95701,0.94499,0.97528,0.74458,0.78831,1.18921,0.45005,0.96556,0.0003775,0.0003775,0.0003775
22,801.967,0.89093,1.76809,0.54214,1.03261,0.92471,0.94424,0.97786,0.7886,0.91882,0.93214,0.95883,0.72081,0.82016,1.35058,0.52326,0.98304,0.000365125,0.000365125,0.000365125
23,837.824,0.90054,1.77404,0.54006,1.02785,0.92436,0.96493,0.98847,0.82719,0.93274,0.9483,0.97402,0.74627,0.76876,1.24707,0.45127,0.95607,0.00035275,0.00035275,0.00035275
24,873.79,0.89577,1.78238,0.53976,1.02231,0.94568,0.96471,0.98743,0.81833,0.96905,0.94351,0.9741,0.74431,0.78023,1.23182,0.44108,0.95039,0.000340375,0.000340375,0.000340375
25,909.637,0.87334,1.73914,0.53637,1.02301,0.92163,0.97791,0.98556,0.82449,0.92108,0.95402,0.97077,0.736,0.78523,1.21991,0.44203,0.96355,0.000328,0.000328,0.000328
26,945.516,0.87643,1.73756,0.53133,1.02033,0.94279,0.96589,0.98913,0.82298,0.94467,0.9477,0.97007,0.74042,0.80401,1.20174,0.43921,0.93663,0.000315625,0.000315625,0.000315625
27,981.302,0.86307,1.70263,0.52742,1.01198,0.92172,0.97382,0.98395,0.81893,0.92229,0.95455,0.97094,0.75259,0.77374,1.28953,0.45301,0.96077,0.00030325,0.00030325,0.00030325
28,1017.14,0.8767,1.75445,0.52867,1.02328,0.92302,0.96204,0.98828,0.8119,0.92458,0.94194,0.973,0.71271,0.80173,1.31677,0.44511,0.97388,0.000290875,0.000290875,0.000290875
29,1053.32,0.85847,1.6955,0.51788,1.01176,0.93808,0.97285,0.98875,0.8273,0.93905,0.95578,0.97535,0.74397,0.76441,1.23837,0.41919,0.94932,0.0002785,0.0002785,0.0002785
30,1089.17,0.84777,1.69186,0.50694,1.00563,0.94852,0.97371,0.98787,0.83048,0.95613,0.95311,0.97786,0.76018,0.74527,1.18707,0.40357,0.92341,0.000266125,0.000266125,0.000266125
31,1125.07,0.84226,1.67418,0.50136,1.00329,0.94141,0.97848,0.98924,0.83655,0.94403,0.96003,0.97528,0.74322,0.75998,1.16619,0.41215,0.91863,0.00025375,0.00025375,0.00025375
32,1160.86,0.83695,1.67594,0.49774,1.00287,0.95213,0.97754,0.99025,0.82435,0.94786,0.96094,0.97437,0.75273,0.76385,1.16559,0.40089,0.95849,0.000241375,0.000241375,0.000241375
33,1196.67,0.83057,1.63844,0.49217,0.99207,0.96218,0.97639,0.98883,0.82476,0.95049,0.96173,0.97598,0.74641,0.78997,1.20862,0.40857,0.94109,0.000229,0.000229,0.000229
34,1232.53,0.84201,1.67644,0.49894,1.00675,0.95844,0.96784,0.98975,0.84835,0.95169,0.96337,0.97764,0.76637,0.73135,1.14129,0.37839,0.91473,0.000216625,0.000216625,0.000216625
35,1268.49,0.81548,1.6382,0.4806,0.99341,0.96513,0.96928,0.98995,0.84079,0.96517,0.95124,0.97694,0.76587,0.73373,1.14525,0.39595,0.93115,0.00020425,0.00020425,0.00020425
36,1304.66,0.83048,1.6508,0.48622,0.99747,0.94577,0.97049,0.99085,0.83122,0.94688,0.95338,0.98048,0.76343,0.76729,1.23276,0.39402,0.93559,0.000191875,0.000191875,0.000191875
37,1340.47,0.80081,1.61147,0.4669,0.99001,0.943,0.97292,0.98877,0.83882,0.94885,0.9571,0.97542,0.76471,0.73366,1.19729,0.3872,0.93128,0.0001795,0.0001795,0.0001795
38,1376.28,0.79681,1.62113,0.46651,0.98426,0.96203,0.97432,0.98968,0.8399,0.97211,0.95774,0.98031,0.77016,0.73902,1.18219,0.37821,0.94014,0.000167125,0.000167125,0.000167125
39,1412.04,0.78087,1.55759,0.45821,0.97462,0.95424,0.97589,0.98872,0.83379,0.95624,0.95529,0.9774,0.75175,0.7465,1.19534,0.3744,0.92232,0.00015475,0.00015475,0.00015475
40,1447.87,0.79117,1.59653,0.4631,0.98199,0.94547,0.98113,0.99052,0.84403,0.95186,0.9616,0.97586,0.7527,0.7112,1.20959,0.3707,0.92086,0.000142375,0.000142375,0.000142375
41,1483.64,0.85975,1.73849,0.51406,0.97779,0.95541,0.97447,0.99164,0.85033,0.94682,0.96229,0.97843,0.7729,0.71117,1.19251,0.36751,0.91567,0.00013,0.00013,0.00013
42,1519.2,0.86035,1.70104,0.50893,0.97709,0.96039,0.97868,0.99089,0.8394,0.9543,0.96664,0.98039,0.7716,0.73633,1.17125,0.36882,0.92191,0.000117625,0.000117625,0.000117625
43,1554.92,0.8445,1.67502,0.50964,0.96923,0.95711,0.97872,0.9902,0.85197,0.95572,0.96559,0.97737,0.77713,0.71445,1.13124,0.37058,0.91178,0.00010525,0.00010525,0.00010525
44,1590.45,0.81477,1.62814,0.48732,0.95545,0.95687,0.97741,0.99029,0.86012,0.9576,0.95914,0.97638,0.77154,0.69464,1.15367,0.3605,0.90517,9.2875e-05,9.2875e-05,9.2875e-05
45,1626.02,0.81994,1.62471,0.4912,0.9589,0.95769,0.98028,0.99007,0.85248,0.96143,0.96021,0.97792,0.77319,0.702,1.14039,0.36052,0.92045,8.05e-05,8.05e-05,8.05e-05
46,1661.46,0.79275,1.60131,0.47772,0.94624,0.97031,0.97949,0.98981,0.85416,0.97283,0.96315,0.9789,0.77454,0.69974,1.16994,0.35868,0.90451,6.8125e-05,6.8125e-05,6.8125e-05
47,1696.94,0.79272,1.58262,0.46453,0.94024,0.97651,0.97949,0.99063,0.86717,0.97783,0.96268,0.97813,0.77955,0.68873,1.16199,0.34854,0.89737,5.575e-05,5.575e-05,5.575e-05
48,1732.47,0.78068,1.55319,0.46378,0.93765,0.97709,0.97676,0.99026,0.86761,0.97274,0.96235,0.97731,0.77514,0.67045,1.15213,0.33734,0.89272,4.3375e-05,4.3375e-05,4.3375e-05
49,1767.96,0.77444,1.52432,0.46514,0.93746,0.9744,0.97916,0.99065,0.86471,0.97146,0.9628,0.97691,0.77804,0.67356,1.15157,0.3373,0.89339,3.1e-05,3.1e-05,3.1e-05
50,1803.79,0.76923,1.5128,0.44892,0.92892,0.97701,0.9787,0.99111,0.86973,0.97208,0.96501,0.97776,0.78229,0.67023,1.1474,0.34037,0.8931,1.8625e-05,1.8625e-05,1.8625e-05
